BYCO,30-Jun-13,9778.59,10,977,-11299.69,43842.03,66187.01,2795.79,-4728.61,174.71,-4903.32,0,0,0,15493,2013
DSFL,30-Jun-13,3663.21,10,366,-10528.39,11340.92,0,96.35,-1248.58,-101.95,-1146.64,0,0,0,21195,2013
GUTM,30-Jun-13,189.84,10,18,-7493.62,7848.96,2678.37,43.08,-1105.85,-31.13,-1074.72,0,0,0,1064,2013
SEPCO,30-Jun-13,1366.76,10,136,-5555.63,10782.88,2670.81,1137.34,-1882.69,0,-1882.69,0,0,0,4988,2013
AASM,30-Jun-13,134.1,10,13,-5053.59,5818.13,2757.31,136.63,-1810.38,22.84,-1833.22,0,0,0,685,2013
JPGL,30-Jun-13,1560.38,10,156,-4671.75,8281.19,2259.24,1009.18,-896.63,1.25,-897.89,0,0,0,4268,2013
CHBL,30-Jun-13,1150,10,115,-4428.46,15045.67,2171.73,105.7,-488.51,5.29,-493.8,0,0,0,1624,2013
DNCC,30-Jun-13,948.4,10,94,-2796.64,2690.83,145.27,19.27,-463.64,3.17,-466.81,0,0,0,711,2013
DFML,30-Jun-13,1087.35,10,108,-2159.52,4036.26,3.04,2.05,-316.74,0,-316.74,0,0,0,4018,2013
PASM,30-Jun-13,173.52,10,17,-2149.92,3608.74,2531.01,58.95,-455.21,43.91,-499.12,0,0,0,2909,2013
GSPM,30-Jun-13,222.25,10,22,-1793.51,5199.95,1319.22,41,-230.34,29.28,-259.62,0,0,0,3503,2013
PRL,30-Jun-13,350,10,35,-1730.25,27412.63,132114.4,358.3,1237.59,741.58,496.02,28.5,0,28.5,3603,2013
BGL,30-Jun-13,1716,10,171,-1711.02,2348.26,2714.12,224.71,-216.37,9.93,-226.3,0,0,0,1959,2013
JVDC,30-Jun-13,581.28,10,58,-1416.46,11239.24,2395.27,378.05,722.98,12.09,710.89,0,0,0,2341,2013
MFTM,30-Jun-13,188.89,10,18,-1224.65,1263.46,0,7.38,-16.38,0,-16.38,0,0,0,2034,2013
GUSM,30-Jun-13,146.41,10,14,-1213.32,1950.28,603.48,10.62,-118.38,-13.15,-105.23,0,0,0,1709,2013
PECO,30-Jun-13,56.9,10,5,-1136.16,9585.52,385.77,26.48,-153.48,-70.38,-83.11,0,0,0,2325,2013
TRIBL,30-Jun-13,585.53,10,58,-1085.6,4453.53,123.61,49.89,-139.08,0.4,-139.48,0,0,0,2216,2013
BAFS,30-Sep-13,94.5,10,9,-1048.02,2543.73,1955.01,174.64,-135.5,-3.34,-132.17,0,0,0,1245,2013
OLSM,30-Jun-13,120,10,12,-845.15,2514.99,2634.36,148.68,-85.71,21.92,-107.62,0,0,0,407,2013
MOIL,30-Jun-13,5.68,10,0,-840.15,1.98,0,0,-2.55,0,-2.55,0,0,0,806,2013
PNGRS,30-Sep-13,108.5,10,10,-821.89,93.33,136.82,2.04,-112.65,0,-112.65,0,0,0,2873,2013
AZTM,30-Jun-13,85.5,10,8,-655.56,365.78,1050.65,21.54,14.24,1.25,13,0,0,0,1766,2013
FNEL,30-Jun-13,1380,10,138,-591.53,1181.31,106.68,72.52,-13.45,4.95,-18.4,0,0,0,758,2013
KPUS,30-Sep-13,160.18,10,16,-561.38,2217.82,2316.6,43.6,-381.28,-48.16,-333.12,0,0,0,119,2013
PASL,30-Jun-13,1865.68,10,186,-496.82,178.13,0.28,0.01,50.15,0.01,50.15,0,0,0,6618,2013
MZSM,30-Sep-13,141,10,14,-481.02,244.16,217.64,1.17,-120.19,1.49,-121.68,0,0,0,2072,2013
CJPL,30-Jun-13,237.63,10,23,-434.35,358.41,18.68,23.93,-66.6,-2.91,-63.69,0,0,0,1899,2013
MTIL,30-Jun-13,221.05,10,22,-414.67,647.13,233.66,10.76,-46.42,1.19,-47.62,0,0,0,1785,2013
FSWL,30-Jun-13,20,10,2,-395.53,46.75,14.95,15.87,-319.33,0.1,-319.43,0,0,0,115,2013
DSIL,30-Jun-13,600,10,60,-349.92,776.93,1085.83,33.57,127.75,-14.28,142.03,0,0,0,1919,2013
SPLC,30-Jun-13,451.61,10,45,-341.75,1595.18,273,85.14,133.11,-8.02,141.14,0,0,0,1720,2013
KOIL,30-Jun-13,303.03,10,30,-328.51,778.1,0,0.01,16.02,16.81,-0.78,0,0,0,2504,2013
PAKL,30-Jun-13,34,10,3,-312.7,168.89,15.9,15.95,-45.79,0.14,-45.93,0,0,0,246,2013
FIL,30-Jun-13,20,10,2,-304.17,42.32,17.34,0.08,-111.85,0.24,-112.09,0,0,0,99,2013
ADTM,30-Jun-13,77.26,10,7,-280.93,287.09,0,0,53.08,0,53.08,0,0,0,734,2013
MWMP,30-Jun-13,73.55,10,7,-263.11,143.15,16.95,1.34,3.11,0,3.11,0,0,0,2832,2013
PPVC,30-Jun-13,149.58,10,14,-257.76,186.63,3.37,7.25,-10.44,1.25,-11.69,0,0,0,437,2013
DWSM,30-Sep-13,365.12,10,36,-246.3,6040.74,4558.49,105.25,-120.18,-25.82,-94.36,0,0,0,1954,2013
NAZC,30-Jun-13,230,10,23,-241.59,65.65,0,4.87,-5.06,0,-5.06,0,0,0,726,2013
ICCT,30-Jun-13,300.01,10,30,-235.93,1240.31,1728.46,75.05,4.24,1.26,2.98,0,0,0,1560,2013
